model,cue,A1,A2,A3
gemma3:1b,Cheddar,strongest,cheese,milk
gemma3:1b,Parmesan,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,bubonic,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,moo,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,halt,no movement,motion,pause
gemma3:1b,inebriated,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,arachnid,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,elm,strongest,crisp,bright
gemma3:1b,brie,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,pituitary,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,wick,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,perspire,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,feline,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,mozzarella,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,brewery,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,smooch,soft,kiss,touch
gemma3:1b,sill,strongest,creature,shape
gemma3:1b,cob,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,newborn,strongest,baby,life
gemma3:1b,physician,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,teddy,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,marrow,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,impolite,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,cobra,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,perhaps,strongest,power,impact
gemma3:1b,retina,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,oink,strongest,pig,sound
gemma3:1b,hound,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,Sahara,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,not good,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,grizzly,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,uncooked,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,maize,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,meow,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,fir,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,loaf,strongest,sweet,warm
gemma3:1b,holster,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,search engine,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,lager,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,inexpensive,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,fib,fib,strongest,closest
gemma3:1b,viper,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,yolk,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,grater,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,heifer,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,down under,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,cashew,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,steed,strongest,quick,swift
gemma3:1b,exhausted,exhausted,tired,sleep
gemma3:1b,comprehend,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,cheerful,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,obese,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,itch,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,nostril,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,spud,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,udder,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,hare,strongest,quick,wild
gemma3:1b,parchment,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,weep,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,perspiration,Invalid Response,Invalid Response,Invalid Response
gemma3:1b,despise,Invalid Response,Invalid Response,Invalid Response
